"Occupation by major field of study (detailed, 4-digit): Canada, provinces and territories",,,,,,,,
Frequency: Occasional,,,,,,,,
Table: 98-10-0404-01,,,,,,,,
Release date: 2023-10-04,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data",,,,,,,,
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (821A), Age (2), Highest certificate, diploma or degree (16), Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Gender (3)",,,,,,,,
,,,,,,,,
Geography,Canada i1,,,,,,,
Age (2) 1,Total - Age 7,,,,,,,
"Highest certificate, diploma or degree (16) 2","Total - Highest certificate, diploma or degree 8",,,,,,,
Major field of study - Classification of Instructional Programs (CIP) 2021 (500) 3,Total - Major field of study - Classification of Instructional Programs (CIP) 2021 9,,,45.10 Political science and government,,,,
Gender (3) 5 6,Total - Gender,Men+ 10,Women+ 11,Total - Gender,Men+ 10,Women+ 11,,
"82 Supervisors in natural resources, agriculture and related production","52,755","47,210","5,545",100,95,0,,
"820 Supervisors in natural resources, agriculture and related production","52,755","47,210","5,545",100,95,0,,
"8201 Supervisors, logging and forestry","6,760","6,380",375,20,20,0,,
"82010 Supervisors, logging and forestry","6,760","6,380",375,20,20,0,,
"8202 Contractors and supervisors, mining, oil and gas","20,385","19,380","1,010",10,10,0,,
"82020 Supervisors, mining and quarrying","8,370","7,965",400,10,10,0,,
"82021 Contractors and supervisors, oil and gas drilling and services","12,020","11,415",605,0,0,0,,
"8203 Contractors and supervisors, agriculture, horticulture and related operations and services","25,610","21,450","4,165",70,70,0,,
82030 Agricultural service contractors and farm supervisors,"3,085","2,250",835,0,0,0,,
"82031 Contractors and supervisors, landscaping, grounds maintenance and horticulture services","22,525","19,195","3,330",70,70,0,,
83 Occupations in natural resources and related production,"44,350","40,485","3,865",20,20,0,,
831 Occupations in natural resources and fisheries,"44,350","40,485","3,865",20,20,0,,
"8310 Underground miners, oil and gas drillers and related occupations","22,600","21,135","1,465",20,20,0,,
83100 Underground production and development miners,"14,615","14,040",575,10,10,0,,
"83101 Oil and gas well drillers, servicers, testers and related workers","7,985","7,090",890,0,0,0,,
8311 Logging machinery operators,"7,545","7,400",145,0,0,0,,
83110 Logging machinery operators,"7,545","7,400",145,0,0,0,,
8312 Fishing vessel masters and fishermen/women,"14,210","11,950","2,255",0,0,0,,
83120 Fishing masters and officers,"1,160","1,135",25,0,0,0,,
83121 Fishermen/women,"13,055","10,815","2,235",0,0,0,,
"84 Workers in natural resources, agriculture and related production","90,855","72,150","18,705",55,50,0,,
841 Workers in natural resources and fisheries,"90,855","72,150","18,705",55,50,0,,
8410 Mine service workers and operators in oil and gas drilling,"10,655","10,105",550,10,10,0,,
84100 Underground mine service and support workers,"4,535","4,225",305,10,10,0,,
84101 Oil and gas well drilling and related workers and services operators,"6,120","5,880",245,0,0,0,,
8411 Logging and forestry workers,"17,375","15,880","1,500",20,20,0,,
84110 Chain saw and skidder operators,"8,715","8,435",280,15,15,0,,
84111 Silviculture and forestry workers,"8,665","7,440","1,225",0,0,0,,
8412 Workers in agriculture and fishing occupations,"62,825","46,170","16,655",25,20,0,,
84120 Specialized livestock workers and farm machinery operators,"52,265","37,720","14,540",25,20,0,,
84121 Fishing vessel deckhands,"10,560","8,450","2,110",0,0,0,,
"85 Harvesting, landscaping and natural resources labourers","236,360","172,325","64,035",360,270,90,,
"851 Harvesting, landscaping and natural resources labourers","236,360","172,325","64,035",360,270,90,,
"8510 Agriculture, horticulture and harvesting labourers and related occupations","75,635","40,460","35,175",65,40,20,,
85100 Livestock labourers,"35,230","19,845","15,385",15,10,0,,
85101 Harvesting labourers,"16,310","8,695","7,615",25,10,15,,
85102 Aquaculture and marine harvest labourers,"2,925","2,420",500,0,0,0,,
85103 Nursery and greenhouse labourers,"20,515","8,950","11,560",25,25,0,,
85104 Trappers and hunters,660,545,115,0,0,0,,
"8511 Mine and oil and gas drilling, services and related labourers","11,415","10,380","1,030",10,10,0,,
85110 Mine labourers,"3,180","2,705",485,0,0,0,,
"85111 Oil and gas drilling, servicing and related labourers","8,230","7,680",550,10,10,0,,
"8512 Logging, forestry, landscaping and other related labourers","149,310","121,485","27,830",285,215,70,,
85120 Logging and forestry labourers,"6,260","4,305","1,945",40,20,15,,
85121 Landscaping and grounds maintenance labourers,"143,055","117,175","25,875",250,190,60,,
9 Occupations in manufacturing and utilities,"937,355","664,465","272,895","1,710","1,140",565,,
90 Middle management occupations in manufacturing and utilities,"87,460","68,620","18,840",435,325,110,,
900 Middle management occupations in manufacturing and utilities,"87,460","68,620","18,840",435,325,110,,
9001 Managers in manufacturing and utilities,"87,460","68,620","18,840",435,325,110,,
90010 Manufacturing managers,"75,600","59,145","16,460",375,285,80,,
90011 Utilities managers,"11,860","9,480","2,380",60,35,30,,
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","113,935","96,435","17,500",190,160,35,,
"920 Supervisors, processing, manufacturing, assembly and fabrication occupations","63,710","50,340","13,375",125,100,30,,
"9201 Supervisors, processing and manufacturing occupations","45,105","35,405","9,700",85,65,15,,
"92010 Supervisors, mineral and metal processing","5,720","5,390",335,20,20,0,,
"92011 Supervisors, petroleum, gas and chemical processing and utilities","12,515","10,330","2,190",20,15,0,,
"92012 Supervisors, food and beverage processing","16,185","10,850","5,330",40,30,10,,
"92013 Supervisors, plastic and rubber products manufacturing","3,700","2,975",725,0,0,0,,
"92014 Supervisors, forest products processing","5,830","5,355",475,0,0,0,,
"92015 Supervisors, textile, fabric, fur and leather products processing and manufacturing","1,155",515,645,0,0,0,,
"9202 Supervisors, assembly and fabrication","18,605","14,935","3,670",40,35,10,,
"92020 Supervisors, motor vehicle assembling","8,550","6,765","1,790",20,20,0,,
"92021 Supervisors, electronics and electrical products manufacturing","2,290","1,610",680,0,0,0,,
"92022 Supervisors, furniture and fixtures manufacturing","1,660","1,335",325,10,10,0,,
"92023 Supervisors, other mechanical and metal products manufacturing","2,950","2,625",320,0,0,0,,
"92024 Supervisors, other products manufacturing and assembly","3,155","2,605",550,10,10,0,,
921 Utilities equipment operators and controllers,"50,225","46,095","4,125",65,60,0,,
9210 Utilities equipment operators and controllers,"50,225","46,095","4,125",65,60,0,,
92100 Power engineers and power systems operators,"36,215","33,950","2,265",45,45,0,,
92101 Water and waste treatment plant operators,"14,010","12,140","1,870",20,20,0,,
93 Central control and process operators and aircraft assembly assemblers and inspectors,"32,515","28,815","3,700",30,10,15,,
931 Central control and process operators in processing and manufacturing,"26,685","24,040","2,645",30,10,15,,
9310 Central control and process operators in processing and manufacturing,"26,685","24,040","2,645",30,10,15,,
"93100 Central control and process operators, mineral and metal processing","2,470","2,280",185,0,0,0,,
"93101 Central control and process operators, petroleum, gas and chemical processing","23,435","21,055","2,385",20,0,15,,
"93102 Pulping, papermaking and coating control operators",780,705,75,0,0,0,,
932 Aircraft assemblers and aircraft assembly inspectors,"5,830","4,770","1,055",0,0,0,,
9320 Aircraft assemblers and aircraft assembly inspectors,"5,830","4,770","1,055",0,0,0,,
93200 Aircraft assemblers and aircraft assembly inspectors,"5,830","4,770","1,055",0,0,0,,
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","408,470","289,845","118,625",650,470,185,,
941 Processing and manufacturing machine operators and related production workers,"225,065","158,050","67,015",365,265,100,,
9410 Machine operators and related workers in mineral and metal products processing and manufacturing,"44,595","40,650","3,945",40,35,0,,
"94100 Machine operators, mineral and metal processing","8,820","8,215",600,10,10,0,,
94101 Foundry workers,"2,525","2,365",155,0,0,0,,
94102 Glass forming and finishing machine operators and glass cutters,"2,415","2,155",255,0,0,0,,
"94103 Concrete, clay and stone forming operators","4,015","3,830",185,10,10,0,,
"94104 Inspectors and testers, mineral and metal processing","2,375","1,885",485,0,0,0,,
94105 Metalworking and forging machine operators,"12,155","11,185",970,0,0,0,,
94106 Machining tool operators,"9,250","8,420",825,10,10,0,,
94107 Machine operators of other metal products,"3,050","2,585",465,0,0,0,,
"9411 Machine operators and related workers in chemical, plastic and rubber processing","28,290","21,405","6,885",40,30,10,,
94110 Chemical plant machine operators,"8,145","6,020","2,125",15,10,0,,
94111 Plastics processing machine operators,"14,645","10,750","3,895",10,10,0,,
94112 Rubber processing machine operators and related workers,"5,500","4,630",870,15,15,0,,
9412 Machine operators and related workers in pulp and paper production and wood processing and manufacturing,"27,855","24,375","3,475",50,45,0,,
94120 Sawmill machine operators,"6,685","6,235",455,15,15,0,,
"94121 Pulp mill, papermaking and finishing machine operators","5,220","4,750",465,15,15,0,,
94122 Paper converting machine operators,"3,740","3,120",620,10,0,0,,
94123 Lumber graders and other wood processing inspectors and graders,"2,680","2,190",490,0,0,0,,
94124 Woodworking machine operators,"7,210","6,035","1,175",10,10,0,,
94129 Other wood processing machine operators,"2,325","2,050",270,0,0,0,,
"9413 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing","22,660","4,815","17,845",20,0,20,,
"94130 Textile fibre and yarn, hide and pelt processing machine operators and workers","3,030","1,715","1,315",0,0,0,,
"94131 Weavers, knitters and other fabric making occupations","2,430",835,"1,595",0,0,0,,
94132 Industrial sewing machine operators,"15,420","1,905","13,515",15,0,15,,
"94133 Inspectors and graders, textile, fabric, fur and leather products manufacturing","1,775",355,"1,415",0,0,0,,
"9414 Machine operators and related workers in food, beverage and associated products processing","86,995","57,685","29,315",190,135,55,,
"94140 Process control and machine operators, food and beverage processing","52,355","37,430","14,925",140,105,35,,
"94141 Industrial butchers and meat cutters, poultry preparers and related workers","17,615","12,605","5,010",30,25,10,,
94142 Fish and seafood plant workers,"8,600","4,510","4,090",10,0,0,,
"94143 Testers and graders, food and beverage processing","8,430","3,135","5,290",15,10,0,,
9415 Printing equipment operators and related occupations,"14,670","9,115","5,555",30,20,10,,
94150 Plateless printing equipment operators,"7,300","4,830","2,470",10,10,0,,
"94151 Camera, platemaking and other prepress occupations","2,115","1,490",625,0,0,0,,
94152 Binding and finishing machine operators,"3,835","2,140","1,695",0,0,0,,
94153 Photographic and film processors,"1,420",660,760,0,0,0,,
942 Assemblers and inspectors in manufacturing,"183,405","131,800","51,615",285,210,80,,
"9420 Mechanical, electrical and electronics assemblers and inspectors","111,435","75,470","35,960",170,115,60,,
"94200 Motor vehicle assemblers, inspectors and testers","74,690","50,100","24,590",110,80,35,,
"94201 Electronics assemblers, fabricators, inspectors and testers","14,170","7,075","7,100",35,25,15,,
"94202 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing","7,840","5,795","2,045",10,0,10,,
"94203 Assemblers, fabricators and inspectors, industrial electrical motors and transformers","2,610","2,115",490,0,0,0,,
94204 Mechanical assemblers and inspectors,"11,175","9,675","1,505",15,10,0,,
"94205 Machine operators and inspectors, electrical apparatus manufacturing",950,720,235,0,0,0,,
"9421 Furniture, wood, plastic and other products assemblers, finishers and inspectors","71,975","56,325","15,650",115,90,25,,
"94210 Furniture and fixture assemblers, finishers, refinishers and inspectors","18,880","14,600","4,275",40,35,0,,
94211 Assemblers and inspectors of other wood products,"9,000","7,990","1,010",15,15,0,,
"94212 Plastic products assemblers, finishers and inspectors","5,490","3,125","2,365",10,10,0,,
"94213 Industrial painters, coaters and metal finishing process operators","16,155","14,190","1,960",15,15,0,,
"94219 Other products assemblers, finishers and inspectors","22,450","16,420","6,030",30,15,15,,
"95 Labourers in processing, manufacturing and utilities","294,970","180,750","114,225",400,180,220,,
"951 Labourers in processing, manufacturing and utilities","294,970","180,750","114,225",400,180,220,,
"9510 Labourers in processing, manufacturing and utilities","294,970","180,750","114,225",400,180,220,,
95100 Labourers in mineral and metal processing,"10,960","10,060",900,0,0,0,,
95101 Labourers in metal fabrication,"14,960","13,100","1,860",10,10,0,,
95102 Labourers in chemical products processing and utilities,"22,440","15,820","6,615",30,20,0,,
"95103 Labourers in wood, pulp and paper processing","19,915","16,905","3,010",0,0,0,,
95104 Labourers in rubber and plastic products manufacturing,"10,320","7,095","3,225",30,15,15,,
95105 Labourers in textile processing and cutting,"6,735","2,910","3,830",15,10,0,,
95106 Labourers in food and beverage processing,"96,830","47,100","49,735",195,95,105,,
95107 Labourers in fish and seafood processing,"10,105","5,985","4,115",0,0,0,,
"95109 Other labourers in processing, manufacturing and utilities","102,700","61,770","40,935",120,35,95,,
,,,,,,,,
,,,,,,,,
Abbreviation notes:,,,,,,,,
,,,,,,,,
List of abbreviations and acronyms found within various Census products.,,,,,,,,
(https://www12.statcan.gc.ca/census-recensement/2021/ref/symb-ab-acr-eng.cfm),,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
iBall:,,,,,,,,
i1,Geography name: Canada; Geographic area type: Country; Geographic area type abbreviation: Country; Geographic level: Country; Province or territory abbreviation: ...; Dissemination Geography Unique Identifier (DGUID): 2021A000011124; Alternative geographic code: 01; Province or territory geocode: 01; Long-form total non-response rate: 4.3; Data quality flag: 20000; Data quality note: Excludes census data for one or more incompletely enumerated reserves or settlements.,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Footnotes:,,,,,,,,
1,"Age    'Age' refers to the age of a person (or subject) of interest at last birthday (or relative to a specified, well-defined reference date).",,,,,,,
2,"Highest certificate, diploma or degree  Highest certificate, diploma or degree is the classification used in the census to measure the broader concept of 'Educational attainment.'  This variable refers to the highest level of education that a person has successfully completed and is derived from the educational qualifications questions, which asked for all certificates, diplomas and degrees to be reported.  The general hierarchy used in deriving this variable (high school, trades, college, university) is loosely tied to the 'in-class' duration of the various types of education. At the detailed level, someone who has completed one type of certificate, diploma or degree will not necessarily have completed the credentials listed below it in the hierarchy. For example, a person with an apprenticeship or trades certificate or diploma may not have completed a high school certificate or diploma, nor does an individual with a 'master's degree' necessarily have a 'university certificate or diploma above bachelor level.' Although the hierarchy may not fit all programs perfectly, it gives a general measure of educational attainment.  This variable is reported for persons aged 15 years and over in private households.",,,,,,,
3,"Major field of study (based on the Classification of Instructional Programs (CIP) Canada 2021)  Field of study refers to the discipline or area of learning or training associated with a particular course or program of study.  This 'Major field of study' variable refers to the predominant discipline or area of learning or training of a person's highest completed postsecondary certificate, diploma or degree, classified according to the Classification of Instructional Programs (CIP) Canada 2021.  This variable can be used either independently or in conjunction with the 'Highest certificate, diploma or degree' variable. When the latter is used with 'Major field of study,' it should be noted that different fields of study will be more common for different types of postsecondary qualifications. At the detailed program level, some programs are only offered at certain levels of education.  There was an explicit instruction in the questionnaire which instructed respondents to be as specific as possible in indicating a subfield or subcategory of specialization within a broad discipline or area of training.  This variable is reported for persons aged 15 years and over in private households.",,,,,,,
4,"Occupation (based on the National Occupational Classification [NOC] 2021 Version 1.0)  Occupation refers to the kind of work performed in a job, a job being all the tasks carried out by a particular worker to complete his or her duties. An occupation is a set of jobs that are sufficiently similar in work performed.  Kind of work is described in terms of tasks, duties and responsibilities, often including factors such as materials processed or used, the industrial processes used, the equipment used, and the products or services provided. Occupations are generally homogeneous with respect to skill type and skill level.  Occupation applies to the contribution of labour to that part of economic activity that is within the production boundary defined for the System of National Accounts.",,,,,,,
5,"Gender  Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman).   Gender includes the following concepts:   gender identity, which refers to the gender that a person feels internally and individually;   gender expression, which refers to the way a person presents their gender, regardless of their gender identity, through body language, aesthetic choices or accessories (e.g., clothes, hairstyle and makeup), which may have traditionally been associated with a specific gender.  A person's gender may differ from their sex at birth, and from what is indicated on their current identification or legal documents such as their birth certificate, passport or driver's licence. A person's gender may change over time.   Some people may not identify with a specific gender.",,,,,,,
6,"Given that the non-binary population is small, data aggregation to a two-category gender variable is sometimes necessary to protect the confidentiality of responses provided. In these cases, individuals in the category “non-binary persons” are distributed into the other two gender categories and are denoted by the “+” symbol.",,,,,,,
7,“Total” includes persons aged 15 and over. The categories for “15 to 24 years” and “65 years and over” are not displayed separately.,,,,,,,
8,"For information on data quality for this variable, refer to the Education Reference Guide, Census of Population, 2021, Catalogue no. 98-500-X2021013.",,,,,,,
9,"This variable shows the hierarchy of the 'alternative primary groupings' (a CIP variant) with detail on the two-digit series and the four-digit subseries. For more information on the CIP classification, see the Classification of Instructional Programs, Canada 2021: http://www.statcan.gc.ca/eng/concepts/classification. For information on classification and data quality for this variable, refer to the Education Reference Guide, Census of Population, 2021, Catalogue no. 98-500-X2021013.",,,,,,,
10,"This category includes men (and/or boys), as well as some non-binary persons.",,,,,,,
11,"This category includes women (and/or girls), as well as some non-binary persons.",,,,,,,
12,"Refers to the kind of work performed by persons aged 15 years and over as determined by their kind of work and the description of the main activities in their job. The occupation data are produced according to the National Occupational Classification [NOC] 2021 version 1.0.  Occupation codes are based on write-in descriptions of the respondents’ job title and main duties/responsibilities. Incomplete or vague write-in responses can reduce the accuracy of the codes assigned, particularly for the most detailed levels of the occupation classification. For example, when ‘sales’ is provided as a description of main duties or responsibilities, any one of the codes corresponding to sales associate, sales supervisor or sales manager could be assigned.  The potential for inaccuracy in occupation codes is elevated for smaller domains, when increased sampling variability also impacts the accuracy of estimates. In such situations, users are advised to consider using broader occupation categories.",,,,,,,
13,"Includes persons aged 15 years and over who never worked for pay or in self-employment, or last worked for pay or in self-employment prior to 2020.",,,,,,,
14,Includes persons aged 15 years and over who have worked at some point in time between January 2020 and May 2021.,,,,,,,
15,Census 2021 National Occupational Classification (NOC) code exception: The code and title of this category are not found in the NOC 2021; this category includes codes 00011-00015.,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"How to cite: Statistics Canada. Table 98-10-0404-01  Occupation by major field of study (detailed, 4-digit): Canada, provinces and territories",,,,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810040401,,,,,,,,
